,id_str,text,created_hr,created_dotw,calltime,day,set,call,favorite_count,retweet_count,place_names,place_ids,sources,influence_score,in_reply_to_status_id_str,in_reply_to_user_id_str,lang,is_quote_status,retweeted,truncated,user_id_str,user_name,user_description,user_location,user_since,favorites_counts,followers_count,friends_count,listed_count,profile_background_color,profile_text_color,user_screen_name,statuses_count,verified,num_tags,num_media,num_symbols,num_urls,num_user_mentions
717,1095075933847990272,I literally slept allday...wow,16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,110.2,,,en,False,False,False,93776357,TN,Kylynń.,,9,7596,4405,1531,1,352726,3E4415,1tianna__,68994,False,0,0,0,0,0
718,1095075965753950208,"Want to land a job like ""Sr. Associate"" at Cognizant? Applicant tracking systems look for specific keywords. Use th… https://t.co/FYydiIhV5x",16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,CareerArc 2.0,30.35,,,en,False,False,True,21684774,Philly IT Jobs,"Follow this account for geo-targeted Software Dev. - General/IT job tweets in Philadelphia, PA. Need help? Tweet us at @CareerArc!","Philadelphia, PA",10,0,626,330,196,253956,000000,tmj_phl_it,451,False,0,0,0,1,0
719,1095075976638279680,"@bluejade09 @MonetPalomino70 So beautiful.  I'd love to touch those strong , yet so delicate hands. He's so expressive with them.",16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for Android,7.050000000000001,1095059702260662273,33318008,en,False,False,False,849394773555388421,Lisa A. Donoghue @HarrysCougar4ever,"Hey Angel , I wish I could be more like you ...❤️ 😇
I'm a Harry Cougar 4ever. 
Married , Mom of 3 boys.
100%Italian, saw my baby 6/21/18 & 6/22/18 MSG/NYC 🎸♥️","Erie, PA",1,15504,279,185,1,F5F8FA,333333,LisaADonoghue3,15276,False,0,0,0,0,2
720,1095076051305287682,Game changer for @CityofEriePA? Proposed legislation to align Federal #OpportunityZone tax incentives w/ Pennsylvan… https://t.co/gUvtV5Idgx,16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for iPhone,9.725000000000001,,,en,True,False,True,366868845,Matt Wachter,"VP Finance & Development, Erie Downtown Development Corporation | Let's Revitalize the Rustbelt | Villanova LL.M Tax & KPMG M&A Tax Alumnus |","Erie, PA",7,779,368,582,7,C0DEED,333333,mwachter26,445,False,1,0,0,1,1
721,1095076068455862272,One of the students at my work just said I look like Tim Lincecum cuz of my hair so yeah my day was just made😁😁😁,16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,3.0,,,en,False,False,False,930985195540570114,Boss Hogg🦁,“No man knows how bad he is ‘til he has tried very hard to be good.” - C.S. Lewis,The Good Life,1,1663,120,728,0,F5F8FA,333333,jaynes_jj,790,False,0,0,0,0,0
722,1095076080854142978,@comcastcares what happen to UP network??,16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,2.15,,14104847,en,False,False,False,36421212,Richard Lewis,Hanging around playing with my iPhone,"Reading, PA",9,171,77,367,3,1A1B1F,666666,Richard__Lewis,4429,False,0,0,0,0,1
723,1095076096364761090,This is why I look in the mirror like I’m the fucking man,16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,27.075,,,en,False,False,False,706630495,RMaC,H.U.M.B.L.E,,6,1468,1077,108,2,C0DEED,333333,PleasingReece,3645,False,0,0,0,0,0
724,1095076128233000960,Being away from home for awhile feels so good,16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,1.475,,,en,False,False,False,1002204097376915456,jade,FMHS’20🐅Renegades💚Dylan❤️,Sorry im at softball 🤷‍♀️,0,803,59,103,0,F5F8FA,333333,jadelr222,296,False,0,0,0,0,0
725,1095076176387805190,@JTM_Chef @TsunamiDroB Get that mike tyson tribal face tat,16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPad,26.425,1095073956497932289,2213226071,en,False,False,False,196032951,AddiWhyYouBooted!,dm for beats / studio time | management: @jtm_chef,"Allentown, PA",8,13874,1051,857,2,C0DEED,333333,AddiBootedUp,57320,False,0,0,0,0,2
726,1095076178183024648,"This kid is gonna have a monster senior year, heard it here first ✊🏼@anthony_koper",16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,12.25,,,en,True,False,False,2986697117,Ryan Silvious,OT @ California University of Pennsylvania 🏈🔴⚫️,"West Lawn, PA",4,1373,490,402,0,C0DEED,333333,RyanSilvious60,1037,False,0,0,0,0,1
727,1095076177088262145,@heARTISTatWORK @mraspinall @LindaEdwardsi @guay_ms @pattersonaubrey @Rdene915 @ERobbPrincipal @mafost… https://t.co/82TBbJijhe,16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPad,8.75,1094942357873704961,3386514201,en,False,False,True,3386514201,Matthew Weimann,#3rdGrade @EPSDWillowLane #TheChessDudes #ReleaseYourFirefly http://thecaptainofclass.com,"Pennsylvania, USA",3,1786,332,637,6,000000,000000,MrWeimann,1201,False,0,0,0,1,8
728,1095076183824310274,"@Lpittsillus_3 @MTLFORBRKFST @MethodboxYT Of course! Vlog can be 15 seconds. But no shorter. 

Source: The Official Rule Book of Vlogs",16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,134.95000000000002,1095060820730494978,804728443762049028,en,False,False,False,95479725,Cody Wanner,makin’ vids like it’s my job #nosmallcreator,"Harrisburg, PA",9,24699,5272,945,42,C0DEED,333333,codywanner,6719,False,0,0,0,0,3
729,1095076197594288129,"@ManonWombat I've been trying to write.
I've kept all of the documentation to back up my allegations BUT I find it… https://t.co/7uygvXCG49",16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,Canada,3376992a082d67c7,Twitter Web Client,163.825,1095074135976247296,2612554791,en,False,False,True,47534393,Monica Henry,"Anti-Globalist  Advocate truth, critical thought, empowered CITIZENS. Informed, engaged 'Bernier' advocate from Beauce since 2006! 
Proud Founding Member #PPC",St Joseph de Beauce,9,28774,5995,2056,186,352726,3E4415,chevymo,313978,False,0,0,0,1,1
732,1095076273116905472,"@EmmaVigeland .. they'll probably get lost on the way back home .. lol
#losers",16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,Canada,3376992a082d67c7,Twitter Web Client,65.4,1095075872921604096,742453163098296320,en,False,False,False,31159047,Bobby 🇨🇦,"#Montreal Web/Graphic Designer & #SEO that usually tweets: #Habs, #IMFC, #UFC, #Politics, #Injustice, #Media, #Music, #Wordpress & more","Montréal, Québec",9,42038,1926,958,230,3A3230,666666,montrealdesign,95346,False,1,0,0,0,1
733,1095076273901187072,@Lpittsillus_3 @MTLFORBRKFST @MethodboxYT 😂👊🏻🔥 get it man - length doesn’t matter like value does,16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,134.95000000000002,1095076183824310274,95479725,en,False,False,False,95479725,Cody Wanner,makin’ vids like it’s my job #nosmallcreator,"Harrisburg, PA",9,24699,5272,945,42,C0DEED,333333,codywanner,6720,False,0,0,0,0,3
734,1095076300891570179,"@ducksinrow I understand. It is going to be OK,take a deep breath,you can do this and it will be worth it in the end. Peace and prayers",16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter Web Client,2.9250000000000003,1094698281450553346,1071575243540578304,en,False,False,False,803393820381548544,Catherine Gegaris,"Retired after 35 years in healthcare. CNO,NP.Critical Care Expert. Love dance,art and music. My passion is my family and wonderful lab/greyhound named Elvis.","Mountain Top, PA",2,9501,117,85,0,000000,000000,cgegaris1,4818,False,0,0,0,0,1
735,1095076308143538176,@KrangTNelson That's honestly pretty cool,16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for Android,35.175000000000004,1095069465581096963,4517565515,en,False,False,False,217320158,j❄e ⛄,"Might be goin to hell in a bucket, but at least I'm enjoyin the ride 🔅 (~);} #DubNation #GoCanucksGo","Pennsylvania, USA",8,135863,1236,1774,57,F01811,333333,Shackelford1055,123838,False,0,0,0,0,1
736,1095076321758232576,@xxhypernavixx @Kyestwittter @Treyarch You’re just mad that apex is better,16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,0.275,1095069954490142720,752713412757512196,en,False,False,False,1006377212256415744,Cameron Ziefel,,,0,145,11,49,0,F5F8FA,333333,camzfl,483,False,0,0,0,0,3
737,1095076349377736705,I can’t stop watching this 😂,16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,26.475,,,en,True,False,False,758027894,Cake Krevel,living on sponge cake,pa,6,24416,1041,852,6,EBEBEB,333333,caitikreeev,17748,False,0,0,0,0,0
738,1095076401923981312,"😂😂😂😂😂
This is the best response! @PhilaUnionPhang
Adults calm down, this movie isn't meant for you 😂😂😂😂😂 

I can't… https://t.co/5cWs2vgZUP",16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,6.825000000000001,,,en,True,False,True,19311446,Mikki Frison,"But you, LORD, are a shield around me.

*Some Gave All* 
1LT Demetrius Frison...
Ever Thine. Ever Mine.",Pennsylvania,10,11820,267,1277,2,F58EC8,D158B9,princessemme,3988,False,0,0,0,1,1
739,1095076402339241985,"@dickfundy @DevinColson Jesus, Nick why do you always have to make sense.",16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,69.25,1095074018216931328,187670429,en,False,False,False,18983498,AmyAwes0me,Feisty redheaded entertainment writer. Member: @LegionofWomen Read: @slashfilm @CBR @comicbook @screenrant @screenjunkies. Listen: @titanspodcast,"Philadelphia, PA",10,71229,2536,1229,78,1A1B1F,C91CC9,AmyAwes0me,20292,False,0,0,0,0,2
740,1095076433335066626,@nielekane @jordanbpeterson @YouTube that's an opinion ... and yo're entitled to it ... I don't know what you've ba… https://t.co/V2iIT0So09,16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,Canada,3376992a082d67c7,Twitter Web Client,163.825,1095073126629617665,3328848488,en,False,False,True,47534393,Monica Henry,"Anti-Globalist  Advocate truth, critical thought, empowered CITIZENS. Informed, engaged 'Bernier' advocate from Beauce since 2006! 
Proud Founding Member #PPC",St Joseph de Beauce,9,28774,5995,2056,186,352726,3E4415,chevymo,313979,False,0,0,0,1,3
741,1095076460270964736,3 year  5 month old anti vaxx kids https://t.co/cedgR6yXLf,16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,Canada,3376992a082d67c7,Twitter Web Client,19.150000000000002,,,en,False,False,False,817035440058433540,Bruh monolith,"18 y/old artist, musician and loser. @VaporSynth_ got its nuts sat on 😔😔  #SusieGang",commissions:closed atm,2,37094,712,334,18,F5F8FA,333333,Vapor_Synth,15022,False,0,1,0,0,0
743,1095076476335075328,#PETE2019  My mind is blown!  Thanks for all the great VR/AR information @lesliefisher,16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,7.95,,,en,False,False,False,15648454,Lori Rodgers,Educational Technology Specialist at ARIN IU 28/Hoping to live to see the day when educational change is embraced and celebrated!,"Indiana, PA",10,587,279,378,13,C6E2EE,663B12,ljrodgers,498,False,1,0,0,0,1
744,1095076507473641472,I see you @miranda_salvo19,16,Mon,2019-02-11 16:46:04.945754,11,5,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,17.025000000000002,,,en,True,False,False,2329109421,Kim Grissinger,chemistry teacher. mother. Harry Potter lover. just remember chem is cool.,,5,7609,654,1670,9,C0DEED,333333,kpc115,1635,False,0,0,0,0,1
745,1095106455533953025,Glad you liked my tweet Lilly,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,47.95,,,en,True,False,False,776467785132146688,Richard Williams,I'm a elderly man A Dirty old man As in Kinky.Into Spanking it's my life Doing it having it done to me And being a Switch.also love even just talking about it.,"Pennsylvania, USA",2,228535,1897,2850,7,F5F8FA,333333,Richard19850796,18581,False,0,0,0,0,0
748,1095106525398532098,@YamikaNguyen #kamikaze #venom:Don't stop believing in God;All your prayers is heart;Alots are not sincere!That why… https://t.co/qjixY6cXLm,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,Canada,3376992a082d67c7,Twitter for Android,0.625,,864109851684765696,en,False,False,True,864109851684765696,yamika Nguyen,Vice Versa;Universe &Beyond; God ruler Heaven&Hell!Gate Keeper universe;Hell on earth&Beyond;How karma work;Play back;To break the curse&Bless of the universe,"Montréal, Québec",1,2585,25,141,0,F5F8FA,333333,YamikaNguyen,327,False,2,0,0,1,1
749,1095106544134512643,@Emily_taylorrrr @LydsEpp @kelly_clarkson @KelseaBallerini Miss you ET!!,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,67.025,1095103468111609857,1382742817,en,False,False,False,46436462,meg🍟,"Born in 1992. Loves cats. 7/13/18. 🎨 Etsy: MegsLyricArt, IG/Twitter: @MegsLyricArt",A concert somewhere,9,44311,2573,1336,36,3B3B3B,3B382B,MegNFry,51357,False,0,0,0,0,4
750,1095106584223596550,@CarlaFinch They don’t want jizz bubbles floating around.,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,17.900000000000002,1095106242622701569,174769516,en,False,False,False,19219899,Reddingmuto,Sports fan who says things that generally aren't funny and a failure at snobbery. Also unnecessarily snarky.,"Cobb County, GA",10,160,587,1239,43,C0DEED,333333,Reddingwb,26905,False,0,0,0,0,1
751,1095106610891051008,@StrahanAndSara do an #oltl reunion next!!!! 🙏🏼🙏🏼🙏🏼,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,4.825,,1017854722252902400,en,False,False,False,825092653247299588,Marissa Paige,Empath. Eternal arts-lover. Diehard Philly sports fan. Proud Jersey girl. Ally to all.               ✌🏻❤️🎵,"Pennsylvania, USA",2,23758,193,525,0,F5F8FA,333333,mpds11590,1452,False,1,0,0,0,1
752,1095106615865425920,I was kinda just kidding honey lol,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,47.95,,,en,True,False,False,776467785132146688,Richard Williams,I'm a elderly man A Dirty old man As in Kinky.Into Spanking it's my life Doing it having it done to me And being a Switch.also love even just talking about it.,"Pennsylvania, USA",2,228536,1897,2850,7,F5F8FA,333333,Richard19850796,18582,False,0,0,0,0,0
753,1095106627177373696,It’s the week of LOVE. 💗 I’ve got something really special for YOU coming to the blog tomorrow. 😘 You’re not going… https://t.co/h4OT766vfJ,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Instagram,101.42500000000001,,,en,False,False,True,33306325,Summer Telban👩🏼‍💻,Life & Style Blogger | Travel | Self-Care | Blog Coach | Believer | Wife | INFJ | All about authenticity & real talk. ✌🏻 Let's connect!,"Pocono Lake, PA",9,15184,3562,356,165,E6F4FA,333333,SummerTelban,41135,False,0,0,0,1,0
754,1095106671339282432,Glad you liked my reply,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,47.95,,,en,True,False,False,776467785132146688,Richard Williams,I'm a elderly man A Dirty old man As in Kinky.Into Spanking it's my life Doing it having it done to me And being a Switch.also love even just talking about it.,"Pennsylvania, USA",2,228537,1897,2850,7,F5F8FA,333333,Richard19850796,18583,False,0,0,0,0,0
755,1095106758866100230,March 6th ✂️🖌💇‍♀️,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,24.975,,,en,False,False,False,555584324,©r@zyH@y,"Lil makeup loving thrift shopper with a big heart and a gypsy soul. Lincoln James 👣7.2.17
youtube 🎬 http://youtube.com/channel/UCm_2V…","0|||||||0 , Cummins ",6,33711,975,2834,8,131516,333333,hayleyx023,37858,False,0,0,0,0,0
756,1095106778226925568,Glad you liked my reply,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,47.95,,,en,True,False,False,776467785132146688,Richard Williams,I'm a elderly man A Dirty old man As in Kinky.Into Spanking it's my life Doing it having it done to me And being a Switch.also love even just talking about it.,"Pennsylvania, USA",2,228537,1897,2850,7,F5F8FA,333333,Richard19850796,18584,False,0,0,0,0,0
758,1095106815644389376,"One of the weirdest things about becoming widower, is no one knows what my favorite cheese is anymore. 🤔",18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,15.650000000000002,,,en,False,False,False,346329363,KrsLang,"Father, Husband, Friend to all creatures Great and not so Great. Life long learner. Philadelphia Sports fan. Pez Collector.","Allentown, PA",7,5975,554,1650,24,000000,000000,Krslang,19149,False,0,0,0,0,0
759,1095106817187872768,"100 cups, pattern blocks, legos, candles - you name it, we used it! STEM stations were a success. “Can we PLEASE ha… https://t.co/jfLyIUiV4R",18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,2.4,,,en,False,False,True,965627408345915393,Chloe Harding,Kinder 🔜 1st Grade 🐾 Cold Spring Elementary 📍Central Bucks School District -- Certified Apple Teacher 🍎-- Seesaw Ambassador 🐯,"Doylestown, PA",1,563,90,148,2,000000,000000,ChloeHardingCB,95,False,0,0,0,1,0
760,1095106821243719680,"@SindyBrown82 Oh, I like it!💀👻💜🖤",18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,4.025,1095088974534713345,787058185626607617,en,False,False,False,840991659005366272,lori,# Country girl # rescue dogs  # Archaeology  # fibromygalia # paranormal # son # old building # photos,"Pennsylvania, USA",1,7558,161,284,0,F5F8FA,333333,LoriDHershberg1,1198,False,0,0,0,0,1
761,1095106823865155585,"yes i have two EP’s completely done, just waiting a bit so i can release them properly",18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,110.325,,,en,True,False,False,233243631,fantasy camp,✰ misery club ✰ mgmt: ben@tmwrk.net,"Wilkes-Barre, PA",8,33726,4383,634,10,C0DEED,333333,fantasy_camp,9085,False,0,0,0,0,0
762,1095106846405349377,@LandauDave I appreciated your unrequited “Flight of the Conchords” lyrics... not lost on me.,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,5.450000000000001,,921614845,en,False,False,False,194789713,Moorhound,,"Philadelphia, PA",8,211,212,1364,2,000000,000000,Moorhound,2026,False,0,0,0,0,1
763,1095106872095444993,@gabichelle1494 Your head is going to explode if you let her in your mind! She almost drove me crazy,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,3.6500000000000004,1095050262006456320,32737400,en,False,False,False,47424492,tatis dice que:,IG-crystaliitatis... SC-crystaliitatis... Pinterest- Crystal Tatis...Seguro Social-XXX-XX-,Puerto Rico,9,818,143,152,1,EBEBEB,362720,crystaliitatis,5349,False,0,0,0,0,1
764,1095106883642380288,Into this but not the new logo,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,22.525000000000002,,,en,True,False,False,25161411,𝕛𝕒𝕔𝕝𝕪𝕟,bands make me dance ✨,"Wilkes-Barre/Scranton, PA",9,10627,841,2444,20,1A1B1F,666666,itzjaclyn,22573,False,0,0,0,0,0
767,1095107009442205696,@BCCardiacKid We will have to see tomorrow! 🤷🏾‍♂️,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,59.150000000000006,1095097008539365376,4926257026,en,False,False,False,366214839,Jovan  Olafioye,"All Pro 🏈 Player for the BC Lions🦁 OLineman #63. RIH SRG & LMG ❤️U 😇God,family & 🏈 life code.7xWestAll🌟6xCFLALL⭐️ 3xWestOLMOP CFLOLMOP12.🦍#NCCU🦅",DET/NC/BC/NIGERIA,7,1734,2228,302,46,C0DEED,333333,jolafioye63,1095,True,0,0,0,0,1
768,1095107046469447685,@MixedRachelle Good.  Took care of some job related licensing and got to goof off a bit so today was a good day.,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,16.1,1095103100900249600,967983778265292800,en,False,False,False,346103581,OLEHEADYOUNGBULL!!,VA ➡ DE #EASTSIDE #HTTR #TheBrotherhood #blastoff,Earth - 616 East Wakanda,7,9046,632,771,4,C0DEED,333333,pb302eastside,18954,False,0,0,0,0,1
769,1095107092904587264,Time to Kick Some Flyers Ass Penguins!!  #LetsGoPens #Flyerssuck,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter Web Client,10.825000000000001,,,en,False,False,False,11554482,JK4,Bottles of Bubbles for Everyone!,Pittsburgh Pa USA,11,5016,421,2331,4,000000,000000,Joek72,14688,False,2,0,0,0,0
770,1095107109769932801,"@clange08 I don't know what they're doing to be honest, but our forecast is well defended. Not a lot of modeling su… https://t.co/dTz6QJVLxx",18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,694.325,1095097304909037570,3420679617,en,False,False,True,598774927,Bobby Martrich EPAWA,"EPAWA Weather Consulting LLC Proprietor & Consultant Meteorologist | 6-year US Army Aviation Vet | Husband | Dad to 4 boys | Tweets are my own, not EPAWA staff",Headquartered in Lehigh Valley,6,19634,26642,549,377,DBE9ED,333333,epawawx,21841,False,0,0,0,1,1
771,1095107134860259329,"An official from a local #NAACP chapter shares that, if marijuana is legalized recreationally, he would like to see… https://t.co/tCEPujflPy",18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,269.1,1095104710074421249,16333958,en,False,False,True,16333958,CPBJ,Central Penn Business Journal covers business news in #CentralPa.,"Harrisburg, Pa.",10,3861,9675,2168,363,1A1B1F,666666,CPBJ,19821,False,1,0,0,1,0
772,1095107148101623808,@PnPCBC @Shemp_358 @AndrewScheer @JustinTrudeau You'll pardon me  when I point out @AndrewScheer taking the moral h… https://t.co/gLJy0sPXny,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,Canada,3376992a082d67c7,Twitter Web Client,163.825,1095074072453627904,373683618,en,False,False,True,47534393,Monica Henry,"Anti-Globalist  Advocate truth, critical thought, empowered CITIZENS. Informed, engaged 'Bernier' advocate from Beauce since 2006! 
Proud Founding Member #PPC",St Joseph de Beauce,9,28783,5995,2057,186,352726,3E4415,chevymo,314033,False,0,0,0,1,5
773,1095107148231655424,"@morningmika As an asst who has done that, my role was always 2b a time maximizer 4 the exec - male &amp; female -  so… https://t.co/nBt6PjQ2qx",18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,3.7500000000000004,1095006526744547328,18227519,en,False,False,True,61255983,lawrence abuhoff,"misplaced man in the heart of Coal Country. Miss the world, love my dogs, blessed w/a great family. Need money & love in my life, not necessarily in that order",NYC Metro and Pennsylvania,9,2219,147,209,1,BADFCD,179CD1,LawrenceAbuhoff,4047,False,0,0,0,1,1
774,1095107295246077952,Bruh what ? What did that little girl ever do,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,3.075,,,en,True,False,False,813964453209341954,trap money chenny💮™️,"NPCA Class of 2019 | Erie Royal WB/LB#15| Track ""Star"" | Collegiate Academy Junior Vp | Aka Vraw | 814 | God is great 🙏🏽 |","Erie, PA",2,565,123,104,0,F5F8FA,333333,VrAw_21chen,1275,False,0,0,0,0,0
776,1095107333414359040,@MattClibanoff Art is just porn with rocks,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,6.425,1095106749114261504,844327081563566081,en,False,False,False,485933017,Christopher,"Live fast, die young.","West Chester, PA",7,7454,248,228,3,000000,000000,ChrisAWarren,12361,False,0,0,0,0,1
777,1095107353115086850,It hurts at first but then......🙌🏽🙌🏽🙌🏽,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,3.65,,,en,False,False,False,2739369647,Finessa Williams💁🏻‍♀️,Ya Kid favorite GodMother💋,,4,6002,140,230,2,C0DEED,333333,FrenchieVDiva,6530,False,0,0,0,0,0
778,1095107355329658880,@freshsonicmemes Where the speakeasies at,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,15.375,1095103709300879361,989980519,en,False,False,False,21250462,Chris Compendio,(they/he) EIC/🎙️@APMarvel | Staff @Flixist @DualShockers | Bylines @PasteMagazine @_videodame ZEAL @capsulecrit | Pic by @MorganRoseArt,"Pennsylvania, USA",10,27449,582,326,11,C0DEED,333333,Compenderizer,10113,False,0,0,0,0,1
779,1095107397927010305,@epidemicsound How about that feeling. Incredible.,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,134.97500000000002,1094949358133481472,359873061,en,False,False,False,95479725,Cody Wanner,makin’ vids like it’s my job #nosmallcreator,"Harrisburg, PA",9,24720,5273,945,42,C0DEED,333333,codywanner,6726,False,0,0,0,0,1
780,1095107424455983105,It takes so little to make a girl happy. You guys don’t even understand,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,9.725000000000001,,,en,False,False,False,2377710752,kate baron,“Teach me to do your will for you are my God.” Psalms 143:10,"Pennsylvania, USA",4,1746,389,154,0,C0DEED,333333,katiebaron13,1339,False,0,0,0,0,0
782,1095107526264344576,@amburrida23 Either The Great Golden Baby or The Glorious Nosebleed,18,Mon,2019-02-11 18:59:15.469156,11,6,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,22.925,1095106004654665728,905785818639458304,en,False,False,False,169218549,A Duck With A Leek Sword,The unrelenting constancy of love and hope can rescue and restore you from any scope,"Lancaster, PA",8,112857,851,1237,22,1A1B1F,666666,Kacybraying,73329,False,0,0,0,0,1
